City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Provideniya,RU,2022-10-02 22:56:25,64.3833,-173.3,39.36,81,40,11.18
167,Port Shepstone,ZA,2022-10-02 23:00:33,-30.7414,30.455,67.42,91,26,13.35
168,Whitehorse,CA,2022-10-02 23:00:33,60.7161,-135.0538,54.01,50,30,18.99
169,Guliston,UZ,2022-10-02 23:00:34,40.4897,68.7842,52.11,31,32,2.82
170,Ilulissat,GL,2022-10-02 23:00:34,69.2167,-51.1,30.22,93,75,4.61
171,Marseille,FR,2022-10-02 22:57:04,43.3333,5.5,65.88,60,100,15.28
172,Lavrentiya,RU,2022-10-02 23:00:35,65.5833,-171.0,39.16,72,26,11.03
173,Manono,CD,2022-10-02 23:00:35,-7.3,27.4167,73.13,74,87,2.48
174,Sao Filipe,CV,2022-10-02 22:56:03,14.8961,-24.4956,78.3,71,71,8.48
175,Muli,MV,2022-10-02 23:00:36,2.9167,73.5667,81.12,76,99,19.44
176,Rio Grande,BR,2022-10-02 22:55:40,-32.035,-52.0986,59.11,87,10,3.56
177,Kalmunai,LK,2022-10-02 23:00:36,7.4167,81.8167,81.14,64,100,11.36
178,Bafoulabe,ML,2022-10-02 23:00:36,13.8065,-10.8321,75.43,91,98,2.71
179,Borogontsy,RU,2022-10-02 23:00:37,62.6683,131.1683,22.28,87,83,7.34
180,Mar Del Plata,AR,2022-10-02 22:59:06,-38.0023,-57.5575,50.09,77,0,12.66
181,Grindavik,IS,2022-10-02 22:57:44,63.8424,-22.4338,51.75,100,75,21.85
182,Olga,RU,2022-10-02 23:01:37,43.7444,135.2892,58.91,87,100,2.17
183,Puerto Colombia,CO,2022-10-02 23:01:37,10.9878,-74.9547,83.39,77,31,15.12
184,Hede,CN,2022-10-02 23:01:38,33.7681,120.2517,78.8,77,79,6.93
185,Zhuhai,CN,2022-10-02 23:01:23,22.2769,113.5678,82.18,89,40,8.05
186,Constitucion,CL,2022-10-02 23:01:38,-35.3333,-72.4167,52.68,89,27,7.54
187,Abu Samrah,SY,2022-10-02 22:58:59,35.3029,37.1841,73.58,50,20,8.14
188,Itoman,JP,2022-10-02 23:01:38,26.1247,127.6694,80.62,78,20,1.14
189,Kasongo,CD,2022-10-02 23:01:39,-4.45,26.6667,69.21,93,99,2.84
190,Madang,PG,2022-10-02 23:01:39,-5.2246,145.7966,80.15,87,39,2.24
191,Masinigudi,IN,2022-10-02 23:01:39,11.5667,76.6667,67.82,88,100,3.76
192,Sobolevo,RU,2022-10-02 23:01:40,54.4299,31.8996,47.03,96,100,17.29
193,Rafaela,AR,2022-10-02 23:00:14,-31.2503,-61.4867,71.98,28,0,1.99
194,West Milford,US,2022-10-02 23:00:04,41.1312,-74.3674,54.86,75,100,1.01
195,Tura,IN,2022-10-02 23:01:40,25.5198,90.2201,72.9,97,100,2.73
196,Mahebourg,MU,2022-10-02 23:01:40,-20.4081,57.7,71.26,77,20,8.05
197,Meulaboh,ID,2022-10-02 23:01:41,4.1363,96.1285,75.81,85,99,2.3
198,Alofi,NU,2022-10-02 22:57:28,-19.0595,-169.9187,80.49,57,59,12.66
199,Severomuysk,RU,2022-10-02 23:01:41,56.1481,113.4267,8.37,92,92,4.41
200,Talnakh,RU,2022-10-02 23:01:41,69.4865,88.3972,31.21,94,86,11.32
201,Sirsi,IN,2022-10-02 23:01:42,14.6167,74.85,68.45,98,100,3.62
202,Sola,VU,2022-10-02 22:59:17,-13.8833,167.55,80.44,75,14,8.14
203,Dawei,MM,2022-10-02 23:01:42,14.0833,98.2,75.15,94,100,3.36
204,Kropotkin,RU,2022-10-02 23:01:43,45.4375,40.5756,65.77,81,99,19.37
205,Kieta,PG,2022-10-02 22:57:49,-6.2167,155.6333,84.69,65,23,4.12
206,Alto Araguaia,BR,2022-10-02 23:01:43,-17.3147,-53.2153,72.05,81,88,4.07
207,Springfield,US,2022-10-02 22:59:13,37.2153,-93.2982,79.61,32,3,5.01
208,Hami,CN,2022-10-02 23:01:43,42.8,93.45,41.43,20,2,5.91
209,Ballina,AU,2022-10-02 22:59:31,-28.8667,153.5667,62.78,83,77,8.16
210,Boa Vista,BR,2022-10-02 23:01:44,2.8197,-60.6733,76.98,88,40,3.44
211,Pyaozerskiy,RU,2022-10-02 23:01:44,65.8333,31.1667,41.76,96,94,5.26
212,Nouadhibou,MR,2022-10-02 23:01:45,20.931,-17.0347,73.26,77,0,13.69
213,Kavaratti,IN,2022-10-02 23:01:45,10.5669,72.642,79.93,80,100,12.48
214,Hualmay,PE,2022-10-02 23:01:46,-11.0964,-77.6139,63.57,80,56,9.4
215,Oranjemund,NA,2022-10-02 22:59:37,-28.55,16.4333,56.66,93,0,8.19
216,Coahuayana,MX,2022-10-02 23:01:47,18.7333,-103.6833,76.91,95,99,2.39
217,Marsabit,KE,2022-10-02 23:01:47,2.3284,37.9899,63.0,60,94,21.41
