City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
101,Dikson,73.5069,80.5464,30.45,93,100,20.4,RU,2022-10-02 21:56:28
102,Atar,20.5169,-13.0499,91.85,24,11,3.62,MR,2022-10-02 21:56:28
103,Alibag,18.6411,72.8792,80.67,82,15,5.3,IN,2022-10-02 21:56:29
104,Vestmannaeyjar,63.4427,-20.2734,51.3,92,100,21.14,IS,2022-10-02 21:56:29
105,Arco,45.9177,10.8867,60.96,92,0,4.21,IT,2022-10-02 21:56:30
106,Waiouru,-39.4833,175.6667,50.43,96,100,2.01,NZ,2022-10-02 21:56:30
107,Bethel,41.3712,-73.414,55.02,64,100,3.0,US,2022-10-02 21:56:30
108,Upernavik,72.7868,-56.1549,21.45,87,17,9.8,GL,2022-10-02 21:56:31
109,Pisco,-13.7,-76.2167,64.45,72,0,16.11,PE,2022-10-02 21:56:31
110,Charters Towers,-20.1,146.2667,72.75,68,85,9.51,AU,2022-10-02 21:56:31
111,Pontianak,-0.0333,109.3333,73.38,100,100,1.14,ID,2022-10-02 21:56:31
112,Miyako,39.6367,141.9525,65.35,87,100,6.78,JP,2022-10-02 21:56:32
113,Torbay,47.6666,-52.7314,46.58,72,75,11.5,CA,2022-10-02 21:56:32
114,Robertsport,6.7533,-11.3686,76.93,89,100,11.45,LR,2022-10-02 21:56:32
115,Flinders,-34.5833,150.8552,57.06,90,2,4.0,AU,2022-10-02 21:56:33
116,Las Juntas,19.4167,-104.7,71.33,97,100,4.63,MX,2022-10-02 21:56:33
117,Ponta Do Sol,32.6667,-17.1,70.43,80,30,3.94,PT,2022-10-02 21:56:33
118,Half Moon Bay,37.4636,-122.4286,80.58,62,0,8.05,US,2022-10-02 21:56:34
119,Makokou,0.5738,12.8642,68.68,96,75,2.59,GA,2022-10-02 21:56:34
120,Lorengau,-2.0226,147.2712,83.71,70,32,6.93,PG,2022-10-02 21:56:34
121,Thompson,55.7435,-97.8558,71.76,37,40,19.57,CA,2022-10-02 21:56:34
122,Omsukchan,62.5333,155.8,17.44,95,96,4.68,RU,2022-10-02 21:56:35
123,Moussoro,13.6408,16.4901,90.36,31,1,9.17,TD,2022-10-02 21:56:35
124,Saint-Joseph,-21.3667,55.6167,64.2,78,18,8.46,RE,2022-10-02 21:56:35
125,Grimshaw,56.1834,-117.6027,65.82,26,20,4.61,CA,2022-10-02 21:56:36
126,Yabelo,4.8833,38.0833,65.44,48,94,6.15,ET,2022-10-02 21:56:36
127,Puerto Ayora,-0.7393,-90.3518,73.36,91,90,3.0,EC,2022-10-02 21:56:36
128,Tuktoyaktuk,69.4541,-133.0374,26.6,86,100,8.05,CA,2022-10-02 21:56:37
129,Nushki,29.5542,66.0215,72.16,18,0,3.8,PK,2022-10-02 21:56:37
130,Nikolskoye,59.7035,30.7861,46.29,93,99,5.39,RU,2022-10-02 21:56:37
131,San Quintin,30.4833,-115.95,71.44,69,28,15.12,MX,2022-10-02 21:56:38
132,Paraiso,9.8383,-83.8656,71.51,95,100,2.19,CR,2022-10-02 21:56:38
133,Harper,4.375,-7.7169,75.99,90,97,7.09,LR,2022-10-02 21:56:38
134,Tiksi,71.6872,128.8694,24.12,90,100,9.08,RU,2022-10-02 21:56:39
135,Souillac,-20.5167,57.5167,70.18,73,75,6.91,MU,2022-10-02 21:56:39
136,Zaraza,9.3503,-65.3245,81.72,71,89,1.68,VE,2022-10-02 22:00:52
137,Cotacachi,0.3,-78.2667,64.27,55,91,7.05,EC,2022-10-02 22:00:52
138,Kaeo,-35.1,173.7833,66.33,87,72,9.57,NZ,2022-10-02 22:00:53
139,Mantua,45.1667,10.7833,63.05,86,19,3.0,IT,2022-10-02 22:00:53
140,Eastbourne,50.7687,0.2845,54.1,88,5,1.99,GB,2022-10-02 22:00:54
141,Si Racha,13.1737,100.9311,81.19,76,100,5.48,TH,2022-10-02 22:00:54
142,Cabo San Lucas,22.8909,-109.9124,92.61,59,88,5.28,MX,2022-10-02 21:59:50
143,Viedma,-40.8135,-62.9967,49.48,55,92,13.67,AR,2022-10-02 22:00:33
144,Cervo,43.6702,-7.4101,64.96,92,99,9.42,ES,2022-10-02 22:00:55
145,New Norfolk,-42.7826,147.0587,50.92,79,99,2.55,AU,2022-10-02 22:00:56
146,Oranjestad,12.524,-70.027,89.55,62,40,16.11,AW,2022-10-02 21:56:40
147,Yellowknife,62.456,-114.3525,44.56,63,100,31.0,CA,2022-10-02 22:00:56
148,Bengkulu,-3.8004,102.2655,74.98,91,100,4.68,ID,2022-10-02 22:00:57
149,Kamaishi,39.2667,141.8833,66.22,84,100,4.83,JP,2022-10-02 22:00:57
150,Jiangyou,31.7667,104.7167,72.01,90,100,3.78,CN,2022-10-02 22:00:58
151,Juybar,36.6412,52.9124,68.95,78,0,3.15,IR,2022-10-02 22:00:58
152,Balabac,7.9868,117.0645,81.03,82,100,9.53,PH,2022-10-02 22:00:58
153,Vagur,61.4732,-6.8119,51.26,93,75,26.42,FO,2022-10-02 22:00:58
154,Quebrangulo,-9.3189,-36.4711,67.01,92,1,8.08,BR,2022-10-02 22:00:59
155,Nuevo Progreso,23.1667,-97.95,84.54,63,54,11.3,MX,2022-10-02 22:00:59
156,Hanzhong,33.0728,107.0303,59.18,92,94,10.67,CN,2022-10-02 22:01:00
157,Tabou,4.423,-7.3528,75.7,92,85,6.2,CI,2022-10-02 22:01:00
158,Boddam,57.4667,-1.7833,55.49,76,75,10.69,GB,2022-10-02 22:01:00
159,Nouakchott,18.0858,-15.9785,81.14,63,3,13.62,MR,2022-10-02 22:01:00
160,Chuy,-33.6971,-53.4616,56.48,71,2,6.02,UY,2022-10-02 22:01:01
161,Karacabey,40.2152,28.4038,64.58,59,0,5.23,TR,2022-10-02 22:01:01
162,Georgetown,5.4112,100.3354,80.53,88,20,0.0,MY,2022-10-02 22:01:02
163,Ishigaki,24.3448,124.1572,81.5,70,71,9.78,JP,2022-10-02 22:01:03
164,Chokurdakh,70.6333,147.9167,17.71,87,82,7.23,RU,2022-10-02 22:01:03
165,Naze,28.3667,129.4833,76.55,72,12,8.81,JP,2022-10-02 22:01:03
166,Provideniya,64.3833,-173.3,39.36,81,75,15.99,RU,2022-10-02 22:00:29
167,Port Shepstone,-30.7414,30.455,67.57,92,32,14.29,ZA,2022-10-02 22:01:04
168,Whitehorse,60.7161,-135.0538,51.31,52,29,17.0,CA,2022-10-02 22:01:05
169,Guliston,40.4897,68.7842,53.22,31,34,4.0,UZ,2022-10-02 22:01:05
170,Ilulissat,69.2167,-51.1,32.02,86,75,3.44,GL,2022-10-02 22:01:06
171,Marseille,43.3333,5.5,65.88,50,100,15.5,FR,2022-10-02 22:01:06
172,Lavrentiya,65.5833,-171.0,38.32,74,23,9.66,RU,2022-10-02 22:00:22
173,Manono,-7.3,27.4167,74.03,72,93,3.6,CD,2022-10-02 22:01:07
174,Sao Filipe,14.8961,-24.4956,78.4,71,77,8.79,CV,2022-10-02 22:01:08
175,Muli,2.9167,73.5667,80.98,77,99,19.84,MV,2022-10-02 22:01:08
176,Rio Grande,-32.035,-52.0986,58.75,86,12,5.57,BR,2022-10-02 22:01:09
177,Kalmunai,7.4167,81.8167,81.52,63,100,10.31,LK,2022-10-02 22:01:10
178,Bafoulabe,13.8065,-10.8321,76.03,89,97,2.64,ML,2022-10-02 22:01:11
179,Borogontsy,62.6683,131.1683,20.73,93,81,6.6,RU,2022-10-02 22:01:11
180,Mar Del Plata,-38.0023,-57.5575,52.09,76,86,4.0,AR,2022-10-02 22:01:17
181,Grindavik,63.8424,-22.4338,50.47,100,100,20.71,IS,2022-10-02 22:02:12
182,Olga,43.7444,135.2892,55.96,92,100,1.88,RU,2022-10-02 22:02:12
183,Puerto Colombia,10.9878,-74.9547,83.98,74,33,14.18,CO,2022-10-02 22:02:13
184,Hede,33.7681,120.2517,78.19,75,74,7.4,CN,2022-10-02 22:02:13
185,Zhuhai,22.2769,113.5678,82.18,89,40,8.05,CN,2022-10-02 22:02:14
186,Constitucion,-35.3333,-72.4167,56.73,78,32,6.6,CL,2022-10-02 22:02:14
